file	article_id	action	detail
archive/2026-06.csv	0f8e2ca47f7d	removed	collected_at=2026-09-03 23:31:09
archive/2026-06.csv	18a065a5202b	removed	collected_at=2026-09-03 23:31:33
archive/2026-06.csv	947ce431f313	removed	collected_at=2026-09-03 23:32:11
archive/2026-06.csv	e488a8896bb7	removed	collected_at=2026-09-03 23:32:11
archive/2026-06.csv	b59f141e4de5	removed	collected_at=2026-09-03 23:32:11
archive/2026-06.csv	1fe2caab417f	removed	collected_at=2026-09-03 23:32:11
archive/2026-06.csv	3ea288870a92	removed	collected_at=2026-09-03 23:32:14
archive/2026-06.csv	30e81695f9a5	removed	collected_at=2026-09-03 23:32:15
archive/2026-06.csv	2b015da3dfec	removed	collected_at=2026-09-03 23:32:17
archive/2026-06.csv	7877ecb3e7d1	removed	collected_at=2026-09-03 23:32:17
archive/2026-06.csv	ba1d9869ee93	removed	collected_at=2026-09-03 23:32:19
archive/2026-06.csv	7086bbf0be4d	removed	collected_at=2026-09-03 23:32:21
archive/2026-06.csv	3bfe355cc815	removed	collected_at=2026-09-03 23:32:21
archive/2026-06.csv	79beecdd3023	removed	collected_at=2026-09-03 23:32:22
archive/2026-06.csv	146417aa8379	removed	collected_at=2026-09-03 23:32:24
archive/2026-06.csv	8781057577b2	removed	collected_at=2026-09-03 23:32:26
archive/2026-06.csv	2967ec60027d	removed	collected_at=2026-09-03 23:32:26
archive/2026-06.csv	9fa24c4f622a	removed	collected_at=2026-09-03 23:32:26
archive/2026-06.csv	3f208d4a2010	removed	collected_at=2026-09-03 23:32:26
archive/2026-06.csv	bdba9b4e9985	removed	collected_at=2026-09-03 23:32:26
archive/2026-06.csv	f7038ff123ac	removed	collected_at=2026-09-03 23:32:26
archive/2026-06.csv	501762a9a60c	removed	collected_at=2026-09-03 23:32:27
archive/2026-07.csv	412605bffec9	removed	collected_at=2026-09-03 23:29:33
archive/2026-07.csv	89b2a20af42e	removed	collected_at=2026-09-03 23:29:43
archive/2026-07.csv	2f1fe6a95cbb	removed	collected_at=2026-09-03 23:29:51
archive/2026-07.csv	9d3ee6aed652	removed	collected_at=2026-09-03 23:31:58
archive/2026-07.csv	ff86186167d7	removed	collected_at=2026-09-03 23:32:03
archive/2026-07.csv	82723cac4e6e	removed	collected_at=2026-09-03 23:32:10
archive/2026-07.csv	895373fd2a54	removed	collected_at=2026-09-03 23:32:14
archive/2026-07.csv	46fac971dd14	removed	collected_at=2026-09-03 23:32:16
archive/2026-07.csv	b9dd27baf7ed	removed	collected_at=2026-09-03 23:32:21
archive/2026-07.csv	c114bd9948b2	removed	collected_at=2026-09-03 23:32:22
archive/2026-07.csv	3b2eab625b3e	removed	collected_at=2026-09-03 23:32:25
archive/2026-07.csv	60b382ca42a6	removed	collected_at=2026-09-03 23:32:31
archive/2026-07.csv	b5bcb191c748	removed	collected_at=2026-09-03 23:32:32
archive/2026-07.csv	60c710be0f37	removed	collected_at=2026-09-03 23:32:32
archive/2026-07.csv	2d513aa4da98	removed	collected_at=2026-09-03 23:32:34
archive/2026-08.csv	c51bc0fd2f28	removed	collected_at=2026-09-03 23:29:19
archive/2026-08.csv	44335a585c8d	removed	collected_at=2026-09-03 23:29:42
archive/2026-08.csv	8ce81b573c73	removed	collected_at=2026-09-03 23:30:02
archive/2026-08.csv	a5f4b8ac94ad	removed	collected_at=2026-09-03 23:30:15
archive/2026-08.csv	2e5b66665d81	removed	collected_at=2026-09-03 23:30:17
archive/2026-08.csv	f753dad98b0d	removed	collected_at=2026-09-03 23:30:47
archive/2026-08.csv	ff61dc3667ec	removed	collected_at=2026-09-03 23:30:53
archive/2026-08.csv	87ffb44fdc9f	removed	collected_at=2026-09-03 23:31:31
archive/2026-08.csv	882da8f44bda	removed	collected_at=2026-09-03 23:31:32
archive/2026-08.csv	48f32095df02	removed	collected_at=2026-09-03 23:31:32
archive/2026-08.csv	41f7f0afeb8b	removed	collected_at=2026-09-03 23:31:34
archive/2026-08.csv	a550fc00297e	removed	collected_at=2026-09-03 23:31:45
archive/2026-08.csv	8eb25277ec97	removed	collected_at=2026-09-03 23:31:48
archive/2026-08.csv	486d4aa1d66e	removed	collected_at=2026-09-03 23:31:49
archive/2026-08.csv	753856d710aa	removed	collected_at=2026-09-03 23:32:02
